phi,gamma,category
0.8,0.52,1
0.8,0.53,1
0.8,0.54,1
0.8,0.5,1
0.91,0.21,2
0.91,0.22,2
0.91,0.23,2
0.91,0.24,2
0.91,0.25,2
0.91,0.26,2
0.91,0.27,2
0.91,0.28,2
0.91,0.29,2
0.91,0.2,2
0.91,0.31,2
0.91,0.32,2
0.91,0.33,2
0.91,0.34,2
0.91,0.35,2
0.91,0.36,2
0.91,0.37,2
0.91,0.38,2
0.91,0.39,2
0.91,0.3,2
0.91,0.41,2
0.91,0.42,2
0.91,0.43,2
0.91,0.44,2
0.91,0.45,2
0.91,0.46,2
0.91,0.47,2
0.91,0.48,2
0.91,0.49,2
0.91,0.4,2
0.91,0.51,2
0.91,0.52,2
0.91,0.53,2
0.91,0.54,2
0.91,0.5,2
0.92,0.21,2
0.92,0.22,2
0.92,0.23,2
0.92,0.24,2
0.92,0.25,2
0.92,0.26,2
0.92,0.27,2
0.92,0.28,2
0.92,0.29,2
0.92,0.2,2
0.92,0.31,2
0.92,0.32,2
0.92,0.33,2
0.92,0.34,2
0.92,0.35,2
0.92,0.36,2
0.92,0.37,2
0.92,0.38,2
0.92,0.39,2
0.92,0.3,2
0.92,0.41,2
0.92,0.42,2
0.92,0.43,2
0.92,0.44,2
0.92,0.45,2
0.92,0.46,2
0.92,0.47,2
0.92,0.48,2
0.92,0.49,2
0.92,0.4,2
0.92,0.51,2
0.92,0.52,2
0.92,0.53,2
0.92,0.54,2
0.92,0.5,2
0.93,0.21,2
0.93,0.22,2
0.93,0.23,2
0.93,0.24,2
0.93,0.25,2
0.93,0.26,2
0.93,0.27,2
0.93,0.28,2
0.93,0.29,2
0.93,0.2,2
0.93,0.31,2
0.93,0.32,2
0.93,0.33,2
0.93,0.34,2
0.93,0.35,2
0.93,0.36,2
0.93,0.37,2
0.93,0.38,2
0.93,0.39,2
0.93,0.3,2
0.93,0.41,2
0.93,0.42,2
0.93,0.43,2
0.93,0.44,2
0.93,0.45,2
0.93,0.46,2
0.93,0.47,2
0.93,0.48,2
0.93,0.49,2
0.93,0.4,2
0.93,0.51,2
0.93,0.52,2
0.93,0.53,2
0.93,0.54,2
0.93,0.5,2
0.94,0.21,2
0.94,0.22,2
0.94,0.23,2
0.94,0.24,2
0.94,0.25,2
0.94,0.26,2
0.94,0.27,2
0.94,0.28,2
0.94,0.29,2
0.94,0.2,2
0.94,0.31,2
0.94,0.32,2
0.94,0.33,2
0.94,0.34,2
0.94,0.35,2
0.94,0.36,2
0.94,0.37,2
0.94,0.38,2
0.94,0.39,2
0.94,0.3,2
0.94,0.41,2
0.94,0.42,2
0.94,0.43,2
0.94,0.44,2
0.94,0.45,2
0.94,0.46,2
0.94,0.47,2
0.94,0.48,2
0.94,0.49,2
0.94,0.4,2
0.94,0.51,2
0.94,0.52,2
0.94,0.53,2
0.94,0.54,2
0.94,0.5,2
0.95,0.21,2
0.95,0.22,2
0.95,0.23,2
0.95,0.24,2
0.95,0.25,2
0.95,0.26,2
0.95,0.27,2
0.95,0.28,2
0.95,0.29,2
0.95,0.2,2
0.95,0.31,2
0.95,0.32,2
0.95,0.33,2
0.95,0.34,2
0.95,0.35,2
0.95,0.36,2
0.95,0.37,2
0.95,0.38,2
0.95,0.39,2
0.95,0.3,2
0.95,0.41,2
0.95,0.42,2
0.95,0.43,2
0.95,0.44,2
0.95,0.45,2
0.95,0.46,2
0.95,0.47,2
0.95,0.48,2
0.95,0.49,2
0.95,0.4,2
0.95,0.51,2
0.95,0.52,2
0.95,0.53,2
0.95,0.54,2
0.95,0.5,2
0.96,0.21,2
0.96,0.22,2
0.96,0.23,2
0.96,0.24,2
0.96,0.25,2
0.96,0.26,2
0.96,0.27,2
0.96,0.28,2
0.96,0.29,2
0.96,0.2,2
0.96,0.31,2
0.96,0.32,2
0.96,0.33,2
0.96,0.34,2
0.96,0.35,2
0.96,0.36,2
0.96,0.37,2
0.96,0.38,2
0.96,0.39,2
0.96,0.3,2
0.96,0.41,2
0.96,0.42,2
0.96,0.43,2
0.96,0.44,2
0.96,0.45,2
0.96,0.46,2
0.96,0.47,2
0.96,0.48,2
0.96,0.49,2
0.96,0.4,2
0.96,0.51,2
0.96,0.52,2
0.96,0.53,2
0.96,0.54,2
0.96,0.5,2
0.97,0.21,2
0.97,0.22,2
0.97,0.23,2
0.97,0.24,2
0.97,0.25,2
0.97,0.26,2
0.97,0.27,2
0.97,0.28,2
0.97,0.29,2
0.97,0.2,2
0.97,0.31,2
0.97,0.32,2
0.97,0.33,2
0.97,0.34,2
0.97,0.35,2
0.97,0.36,2
0.97,0.37,2
0.97,0.38,2
0.97,0.39,2
0.97,0.3,2
0.97,0.41,2
0.97,0.42,2
0.97,0.43,2
0.97,0.44,2
0.97,0.45,2
0.97,0.46,2
0.97,0.47,2
0.97,0.48,2
0.97,0.49,2
0.97,0.4,2
0.97,0.51,2
0.97,0.52,2
0.97,0.53,2
0.97,0.54,2
0.97,0.5,2
0.98,0.21,2
0.98,0.22,2
0.98,0.23,2
0.98,0.24,2
0.98,0.25,2
0.98,0.26,2
0.98,0.27,2
0.98,0.28,2
0.98,0.29,2
0.98,0.2,2
0.98,0.31,2
0.98,0.32,2
0.98,0.33,2
0.98,0.34,2
0.98,0.35,2
0.98,0.36,2
0.98,0.37,2
0.98,0.38,2
0.98,0.39,2
0.98,0.3,2
0.98,0.41,2
0.98,0.42,2
0.98,0.43,2
0.98,0.44,2
0.98,0.45,2
0.98,0.46,2
0.98,0.47,2
0.98,0.48,2
0.98,0.49,2
0.98,0.4,2
0.98,0.51,2
0.98,0.52,2
0.98,0.53,2
0.98,0.54,2
0.98,0.5,2
0.99,0.21,2
0.99,0.22,2
0.99,0.23,2
0.99,0.24,2
0.99,0.25,2
0.99,0.26,2
0.99,0.27,2
0.99,0.28,2
0.99,0.29,2
0.99,0.2,2
0.99,0.31,2
0.99,0.32,2
0.99,0.33,2
0.99,0.34,2
0.99,0.35,2
0.99,0.36,2
0.99,0.37,2
0.99,0.38,2
0.99,0.39,2
0.99,0.3,2
0.99,0.41,2
0.99,0.42,2
0.99,0.43,2
0.99,0.44,2
0.99,0.45,2
0.99,0.46,2
0.99,0.47,2
0.99,0.48,2
0.99,0.49,2
0.99,0.4,2
0.99,0.51,2
0.99,0.52,2
0.99,0.53,2
0.99,0.54,2
0.99,0.5,2
0.9,0.21,2
0.9,0.22,2
0.9,0.23,2
0.9,0.24,2
0.9,0.25,2
0.9,0.26,2
0.9,0.27,2
0.9,0.28,2
0.9,0.29,2
0.9,0.2,2
0.9,0.31,2
0.9,0.32,2
0.9,0.33,2
0.9,0.34,2
0.9,0.35,2
0.9,0.36,2
0.9,0.37,2
0.9,0.38,2
0.9,0.39,2
0.9,0.3,2
0.9,0.41,2
0.9,0.42,2
0.9,0.43,2
0.9,0.44,2
0.9,0.45,2
0.9,0.46,2
0.9,0.47,2
0.9,0.48,2
0.9,0.49,2
0.9,0.4,2
0.9,0.51,2
0.9,0.52,2
0.9,0.53,2
0.9,0.54,6
0.9,0.5,2
0.51,0.55,1
0.51,0.56,1
0.51,0.57,1
0.51,0.58,1
0.51,0.59,1
0.51,0.61,1
0.51,0.62,1
0.51,0.63,1
0.51,0.64,1
0.51,0.65,1
0.51,0.66,1
0.51,0.67,1
0.51,0.68,1
0.51,0.69,1
0.51,0.6,1
0.51,0.7,1
0.52,0.55,1
0.52,0.56,1
0.52,0.57,1
0.52,0.58,1
0.52,0.59,1
0.52,0.61,1
0.52,0.62,1
0.52,0.63,1
0.52,0.64,1
0.52,0.65,1
0.52,0.66,1
0.52,0.67,1
0.52,0.68,1
0.52,0.69,1
0.52,0.6,1
0.52,0.7,1
0.53,0.55,1
0.53,0.56,1
0.53,0.57,1
0.53,0.58,1
0.53,0.59,1
0.53,0.61,1
0.53,0.62,1
0.53,0.63,1
0.53,0.64,1
0.53,0.65,1
0.53,0.66,1
0.53,0.67,1
0.53,0.68,1
0.53,0.69,1
0.53,0.6,1
0.53,0.7,1
0.54,0.55,1
0.54,0.56,1
0.54,0.57,1
0.54,0.58,1
0.54,0.59,1
0.54,0.61,1
0.54,0.62,1
0.54,0.63,1
0.54,0.64,1
0.54,0.65,1
0.54,0.66,1
0.54,0.67,1
0.54,0.68,1
0.54,0.69,1
0.54,0.6,1
0.54,0.7,1
0.55,0.55,1
0.55,0.56,1
0.55,0.57,1
0.55,0.58,1
0.55,0.59,1
0.55,0.61,1
0.55,0.62,1
0.55,0.63,1
0.55,0.64,1
0.55,0.65,1
0.55,0.66,1
0.55,0.67,1
0.55,0.68,1
0.55,0.69,1
0.55,0.6,1
0.55,0.7,1
0.56,0.55,1
0.56,0.56,1
0.56,0.57,1
0.56,0.58,1
0.56,0.59,1
0.56,0.61,1
0.56,0.62,1
0.56,0.63,1
0.56,0.64,1
0.56,0.65,1
0.56,0.66,1
0.56,0.67,1
0.56,0.68,1
0.56,0.69,1
0.56,0.6,1
0.56,0.7,1
0.57,0.55,1
0.57,0.56,1
0.57,0.57,1
0.57,0.58,1
0.57,0.59,1
0.57,0.61,1
0.57,0.62,1
0.57,0.63,1
0.57,0.64,1
0.57,0.65,1
0.57,0.66,1
0.57,0.67,1
0.57,0.68,1
0.57,0.69,1
0.57,0.6,1
0.57,0.7,1
0.58,0.55,1
0.58,0.56,1
0.58,0.57,1
0.58,0.58,1
0.58,0.59,1
0.58,0.61,1
0.58,0.62,1
0.58,0.63,1
0.58,0.64,1
0.58,0.65,1
0.58,0.66,1
0.58,0.67,1
0.58,0.68,1
0.58,0.69,1
0.58,0.6,1
0.58,0.7,1
0.59,0.55,1
0.59,0.56,1
0.59,0.57,1
0.59,0.58,1
0.59,0.59,1
0.59,0.61,1
0.59,0.62,1
0.59,0.63,1
0.59,0.64,1
0.59,0.65,1
0.59,0.66,1
0.59,0.67,1
0.59,0.68,1
0.59,0.69,1
0.59,0.6,1
0.59,0.7,1
0.5,0.55,1
0.5,0.56,1
0.5,0.57,1
0.5,0.58,1
0.5,0.59,1
0.5,0.61,1
0.5,0.62,1
0.5,0.63,1
0.5,0.64,1
0.5,0.65,1
0.5,0.66,1
0.5,0.67,1
0.5,0.68,1
0.5,0.69,1
0.5,0.6,1
0.5,0.7,1
0.61,0.55,1
0.61,0.56,1
0.61,0.57,1
0.61,0.58,1
0.61,0.59,1
0.61,0.61,1
0.61,0.62,1
0.61,0.63,1
0.61,0.64,1
0.61,0.65,1
0.61,0.66,1
0.61,0.67,1
0.61,0.68,1
0.61,0.69,1
0.61,0.6,1
0.61,0.7,1
0.62,0.55,1
0.62,0.56,1
0.62,0.57,1
0.62,0.58,1
0.62,0.59,1
0.62,0.61,1
0.62,0.62,1
0.62,0.63,1
0.62,0.64,1
0.62,0.65,1
0.62,0.66,1
0.62,0.67,1
0.62,0.68,1
0.62,0.69,1
0.62,0.6,1
0.62,0.7,1
0.63,0.55,1
0.63,0.56,1
0.63,0.57,1
0.63,0.58,1
0.63,0.59,1
0.63,0.61,1
0.63,0.62,1
0.63,0.63,1
0.63,0.64,1
0.63,0.65,1
0.63,0.66,1
0.63,0.67,1
0.63,0.68,1
0.63,0.69,1
0.63,0.6,1
0.63,0.7,1
0.64,0.55,1
0.64,0.56,1
0.64,0.57,1
0.64,0.58,1
0.64,0.59,1
0.64,0.61,1
0.64,0.62,1
0.64,0.63,1
0.64,0.64,1
0.64,0.65,1
0.64,0.66,1
0.64,0.67,1
0.64,0.68,1
0.64,0.69,1
0.64,0.6,1
0.64,0.7,1
0.65,0.55,1
0.65,0.56,1
0.65,0.57,1
0.65,0.58,1
0.65,0.59,1
0.65,0.61,1
0.65,0.62,1
0.65,0.63,1
0.65,0.64,1
0.65,0.65,1
0.65,0.66,1
0.65,0.67,1
0.65,0.68,1
0.65,0.69,1
0.65,0.6,1
0.65,0.7,1
0.66,0.55,1
0.66,0.56,1
0.66,0.57,1
0.66,0.58,1
0.66,0.59,1
0.66,0.61,1
0.66,0.62,1
0.66,0.63,1
0.66,0.64,1
0.66,0.65,1
0.66,0.66,1
0.66,0.67,1
0.66,0.68,1
0.66,0.69,1
0.66,0.6,1
0.66,0.7,1
0.67,0.55,1
0.67,0.56,1
0.67,0.57,1
0.67,0.58,1
0.67,0.59,1
0.67,0.61,1
0.67,0.62,1
0.67,0.63,1
0.67,0.64,1
0.67,0.65,1
0.67,0.66,1
0.67,0.67,1
0.67,0.68,1
0.67,0.69,1
0.67,0.6,1
0.67,0.7,1
0.68,0.55,1
0.68,0.56,1
0.68,0.57,1
0.68,0.58,1
0.68,0.59,1
0.68,0.61,1
0.68,0.62,1
0.68,0.63,1
0.68,0.64,1
0.68,0.65,1
0.68,0.66,1
0.68,0.67,1
0.68,0.68,1
0.68,0.69,1
0.68,0.6,1
0.68,0.7,1
0.69,0.55,1
0.69,0.56,1
0.69,0.57,1
0.69,0.58,1
0.69,0.59,1
0.69,0.61,1
0.69,0.62,1
0.69,0.63,1
0.69,0.64,1
0.69,0.65,1
0.69,0.66,1
0.69,0.67,1
0.69,0.68,1
0.69,0.69,1
0.69,0.6,1
0.69,0.7,1
0.6,0.55,1
0.6,0.56,1
0.6,0.57,1
0.6,0.58,1
0.6,0.59,1
0.6,0.61,1
0.6,0.62,1
0.6,0.63,1
0.6,0.64,1
0.6,0.65,1
0.6,0.66,1
0.6,0.67,1
0.6,0.68,1
0.6,0.69,1
0.6,0.6,1
0.6,0.7,1
0.71,0.55,1
0.71,0.56,1
0.71,0.57,1
0.71,0.58,1
0.71,0.59,1
0.71,0.61,1
0.71,0.62,1
0.71,0.63,1
0.71,0.64,1
0.71,0.65,1
0.71,0.66,1
0.71,0.67,1
0.71,0.68,1
0.71,0.69,1
0.71,0.6,1
0.71,0.7,1
0.72,0.55,1
0.72,0.56,1
0.72,0.57,1
0.72,0.58,1
0.72,0.59,1
0.72,0.61,1
0.72,0.62,1
0.72,0.63,1
0.72,0.64,1
0.72,0.65,1
0.72,0.66,1
0.72,0.67,1
0.72,0.68,1
0.72,0.69,1
0.72,0.6,1
0.72,0.7,1
0.73,0.55,1
0.73,0.56,1
0.73,0.57,1
0.73,0.58,1
0.73,0.59,1
0.73,0.61,1
0.73,0.62,1
0.73,0.63,1
0.73,0.64,1
0.73,0.65,1
0.73,0.66,1
0.73,0.67,1
0.73,0.68,1
0.73,0.69,1
0.73,0.6,1
0.73,0.7,1
0.74,0.55,1
0.74,0.56,1
0.74,0.57,1
0.74,0.58,1
0.74,0.59,1
0.74,0.61,1
0.74,0.62,1
0.74,0.63,1
0.74,0.64,1
0.74,0.65,1
0.74,0.66,1
0.74,0.67,1
0.74,0.68,1
0.74,0.69,1
0.74,0.6,1
0.74,0.7,1
0.75,0.55,1
0.75,0.56,1
0.75,0.57,1
0.75,0.58,1
0.75,0.59,1
0.75,0.61,1
0.75,0.62,1
0.75,0.63,1
0.75,0.64,1
0.75,0.65,1
0.75,0.66,1
0.75,0.67,1
0.75,0.68,1
0.75,0.69,1
0.75,0.6,1
0.75,0.7,1
0.76,0.55,1
0.76,0.56,1
0.76,0.57,1
0.76,0.58,1
0.76,0.59,1
0.76,0.61,1
0.76,0.62,1
0.76,0.63,1
0.76,0.64,1
0.76,0.65,1
0.76,0.66,1
0.76,0.67,1
0.76,0.68,1
0.76,0.69,1
0.76,0.6,1
0.76,0.7,1
0.77,0.55,1
0.77,0.56,1
0.77,0.57,1
0.77,0.58,1
0.77,0.59,1
0.77,0.61,1
0.77,0.62,1
0.77,0.63,1
0.77,0.64,1
0.77,0.65,1
0.77,0.66,1
0.77,0.67,1
0.77,0.68,1
0.77,0.69,1
0.77,0.6,1
0.77,0.7,1
0.78,0.55,1
0.78,0.56,1
0.78,0.57,1
0.78,0.58,1
0.78,0.59,1
0.78,0.61,1
0.78,0.62,1
0.78,0.63,1
0.78,0.64,1
0.78,0.65,1
0.78,0.66,1
0.78,0.67,1
0.78,0.68,1
0.78,0.69,1
0.78,0.6,1
0.78,0.7,1
0.79,0.55,1
0.79,0.56,1
0.79,0.57,1
0.79,0.58,1
0.79,0.59,1
0.79,0.61,1
0.79,0.62,1
0.79,0.63,1
0.79,0.64,1
0.79,0.65,1
0.79,0.66,1
0.79,0.67,1
0.79,0.68,1
0.79,0.69,1
0.79,0.6,1
0.79,0.7,1
0.7,0.55,1
0.7,0.56,1
0.7,0.57,1
0.7,0.58,1
0.7,0.59,1
0.7,0.61,1
0.7,0.62,1
0.7,0.63,1
0.7,0.64,1
0.7,0.65,1
0.7,0.66,1
0.7,0.67,1
0.7,0.68,1
0.7,0.69,1
0.7,0.6,1
0.7,0.7,1
0.81,0.55,1
0.81,0.56,1
0.81,0.57,1
0.81,0.58,1
0.81,0.59,1
0.81,0.61,1
0.81,0.62,1
0.81,0.63,1
0.81,0.64,1
0.81,0.65,1
0.81,0.66,1
0.81,0.67,1
0.81,0.68,1
0.81,0.69,1
0.81,0.6,1
0.81,0.7,1
0.82,0.55,1
0.82,0.56,1
0.82,0.57,1
0.82,0.58,1
0.82,0.59,1
0.82,0.61,1
0.82,0.62,1
0.82,0.63,1
0.82,0.64,1
0.82,0.65,1
0.82,0.66,1
0.82,0.67,1
0.82,0.68,1
0.82,0.69,1
0.82,0.6,1
0.82,0.7,1
0.83,0.55,1
0.83,0.56,1
0.83,0.57,1
0.83,0.58,1
0.83,0.59,1
0.83,0.61,1
0.83,0.62,1
0.83,0.63,1
0.83,0.64,1
0.83,0.65,1
0.83,0.66,1
0.83,0.67,1
0.83,0.68,1
0.83,0.69,1
0.83,0.6,1
0.83,0.7,1
0.84,0.55,1
0.84,0.56,1
0.84,0.57,1
0.84,0.58,1
0.84,0.59,1
0.84,0.61,1
0.84,0.62,1
0.84,0.63,1
0.84,0.64,1
0.84,0.65,1
0.84,0.66,1
0.84,0.67,1
0.84,0.68,1
0.84,0.69,1
0.84,0.6,1
0.84,0.7,1
0.85,0.55,1
0.85,0.56,1
0.85,0.57,1
0.85,0.58,1
0.85,0.59,1
0.85,0.61,1
0.85,0.62,1
0.85,0.63,1
0.85,0.64,1
0.85,0.65,1
0.85,0.66,1
0.85,0.67,1
0.85,0.68,1
0.85,0.69,1
0.85,0.6,1
0.85,0.7,1
0.86,0.55,1
0.86,0.56,1
0.86,0.57,1
0.86,0.58,1
0.86,0.59,1
0.86,0.61,1
0.86,0.62,1
0.86,0.63,1
0.86,0.64,1
0.86,0.65,1
0.86,0.66,1
0.86,0.67,1
0.86,0.68,1
0.86,0.69,1
0.86,0.6,1
0.86,0.7,1
0.87,0.55,7
0.87,0.56,1
0.87,0.57,1
0.87,0.58,1
0.87,0.59,1
0.87,0.61,1
0.87,0.62,1
0.87,0.63,1
0.87,0.64,1
0.87,0.65,1
0.87,0.66,1
0.87,0.67,1
0.87,0.68,1
0.87,0.69,1
0.87,0.6,1
0.87,0.7,1
0.88,0.55,7
0.88,0.56,7
0.88,0.57,1
0.88,0.58,1
0.88,0.59,1
0.88,0.61,1
0.88,0.62,1
0.88,0.63,1
0.88,0.64,1
0.88,0.65,1
0.88,0.66,1
0.88,0.67,1
0.88,0.68,1
0.88,0.69,1
0.88,0.6,1
0.88,0.7,1
0.89,0.55,7
0.89,0.56,7
0.89,0.57,7
0.89,0.58,1
0.89,0.59,1
0.89,0.61,1
0.89,0.62,1
0.89,0.63,1
0.89,0.64,1
0.89,0.65,1
0.89,0.66,1
0.89,0.67,1
0.89,0.68,1
0.89,0.69,1
0.89,0.6,1
0.89,0.7,1
0.8,0.55,1
0.8,0.56,1
0.8,0.57,1
0.8,0.58,1
0.8,0.59,1
0.8,0.61,1
0.8,0.62,1
0.8,0.63,1
0.8,0.64,1
0.8,0.65,1
0.8,0.66,1
0.8,0.67,1
0.8,0.68,1
0.8,0.69,1
0.8,0.6,1
0.8,0.7,1
0.91,0.55,2
0.91,0.56,6
0.91,0.57,7
0.91,0.58,7
0.91,0.59,7
0.91,0.61,1
0.91,0.62,1
0.91,0.63,1
0.91,0.64,1
0.91,0.65,1
0.91,0.66,1
0.91,0.67,1
0.91,0.68,1
0.91,0.69,1
0.91,0.6,1
0.91,0.7,1
0.92,0.55,2
0.92,0.56,2
0.92,0.57,6
0.92,0.58,7
0.92,0.59,7
0.92,0.61,1
0.92,0.62,1
0.92,0.63,1
0.92,0.64,1
0.92,0.65,1
0.92,0.66,1
0.92,0.67,1
0.92,0.68,1
0.92,0.69,1
0.92,0.6,7
0.92,0.7,1
0.93,0.55,2
0.93,0.56,2
0.93,0.57,2
0.93,0.58,2
0.93,0.59,6
0.93,0.61,7
0.93,0.62,1
0.93,0.63,1
0.93,0.64,1
0.93,0.65,1
0.93,0.66,1
0.93,0.67,1
0.93,0.68,1
0.93,0.69,1
0.93,0.6,7
0.93,0.7,1
0.94,0.55,2
0.94,0.56,2
0.94,0.57,2
0.94,0.58,2
0.94,0.59,2
0.94,0.61,7
0.94,0.62,7
0.94,0.63,1
0.94,0.64,1
0.94,0.65,1
0.94,0.66,1
0.94,0.67,1
0.94,0.68,1
0.94,0.69,1
0.94,0.6,2
0.94,0.7,1
0.95,0.55,2
0.95,0.56,2
0.95,0.57,2
0.95,0.58,2
0.95,0.59,2
0.95,0.61,2
0.95,0.62,2
0.95,0.63,7
0.95,0.64,1
0.95,0.65,1
0.95,0.66,1
0.95,0.67,1
0.95,0.68,1
0.95,0.69,1
0.95,0.6,2
0.95,0.7,1
0.96,0.55,2
0.96,0.56,2
0.96,0.57,2
0.96,0.58,2
0.96,0.59,2
0.96,0.61,2
0.96,0.62,2
0.96,0.63,2
0.96,0.64,7
0.96,0.65,1
0.96,0.66,1
0.96,0.67,1
0.96,0.68,1
0.96,0.69,1
0.96,0.6,2
0.96,0.7,1
0.97,0.55,2
0.97,0.56,2
0.97,0.57,2
0.97,0.58,2
0.97,0.59,2
0.97,0.61,2
0.97,0.62,2
0.97,0.63,2
0.97,0.64,2
0.97,0.65,7
0.97,0.66,1
0.97,0.67,1
0.97,0.68,1
0.97,0.69,1
0.97,0.6,2
0.97,0.7,1
0.98,0.55,2
0.98,0.56,2
0.98,0.57,2
0.98,0.58,2
0.98,0.59,2
0.98,0.61,2
0.98,0.62,2
0.98,0.63,2
0.98,0.64,2
0.98,0.65,2
0.98,0.66,7
0.98,0.67,1
0.98,0.68,1
0.98,0.69,1
0.98,0.6,2
0.98,0.7,1
0.99,0.55,2
0.99,0.56,2
0.99,0.57,2
0.99,0.58,2
0.99,0.59,2
0.99,0.61,2
0.99,0.62,2
0.99,0.63,2
0.99,0.64,2
0.99,0.65,2
0.99,0.66,2
0.99,0.67,7
0.99,0.68,1
0.99,0.69,1
0.99,0.6,2
0.99,0.7,1
0.9,0.55,7
0.9,0.56,7
0.9,0.57,7
0.9,0.58,7
0.9,0.59,1
0.9,0.61,1
0.9,0.62,1
0.9,0.63,1
0.9,0.64,1
0.9,0.65,1
0.9,0.66,1
0.9,0.67,1
0.9,0.68,1
0.9,0.69,1
0.9,0.6,1
0.9,0.7,1
