phi,gamma,category
0.5,0.25,3
0.5,0.26,3
0.5,0.27,3
0.5,0.28,1
0.5,0.29,1
0.5,0.2,2
0.5,0.31,1
0.5,0.32,1
0.5,0.33,1
0.5,0.34,1
0.5,0.35,1
0.5,0.36,1
0.5,0.37,1
0.5,0.38,1
0.5,0.39,1
0.5,0.3,1
0.5,0.41,1
0.5,0.42,1
0.5,0.43,1
0.5,0.44,1
0.5,0.45,1
0.5,0.46,1
0.5,0.47,1
0.5,0.48,1
0.5,0.49,1
0.5,0.4,1
0.5,0.51,1
0.5,0.52,1
0.5,0.53,1
0.5,0.54,1
0.5,0.5,1
0.61,0.21,2
0.61,0.22,2
0.61,0.23,2
0.61,0.24,2
0.61,0.25,2
0.61,0.26,2
0.61,0.27,2
0.61,0.28,2
0.61,0.29,2
0.61,0.2,2
0.61,0.31,3
0.61,0.32,3
0.61,0.33,3
0.61,0.34,3
0.61,0.35,1
0.61,0.36,1
0.61,0.37,1
0.61,0.38,1
0.61,0.39,1
0.61,0.3,3
0.61,0.41,1
0.61,0.42,1
0.61,0.43,1
0.61,0.44,1
0.61,0.45,1
0.61,0.46,1
0.61,0.47,1
0.61,0.48,1
0.61,0.49,1
0.61,0.4,1
0.61,0.51,1
0.61,0.52,1
0.61,0.53,1
0.61,0.54,1
0.61,0.5,1
0.62,0.21,2
0.62,0.22,2
0.62,0.23,2
0.62,0.24,2
0.62,0.25,2
0.62,0.26,2
0.62,0.27,2
0.62,0.28,2
0.62,0.29,2
0.62,0.2,2
0.62,0.31,3
0.62,0.32,3
0.62,0.33,3
0.62,0.34,3
0.62,0.35,7
0.62,0.36,1
0.62,0.37,1
0.62,0.38,1
0.62,0.39,1
0.62,0.3,3
0.62,0.41,1
0.62,0.42,1
0.62,0.43,1
0.62,0.44,1
0.62,0.45,1
0.62,0.46,1
0.62,0.47,1
0.62,0.48,1
0.62,0.49,1
0.62,0.4,1
0.62,0.51,1
0.62,0.52,1
0.62,0.53,1
0.62,0.54,1
0.62,0.5,1
0.63,0.21,2
0.63,0.22,2
0.63,0.23,2
0.63,0.24,2
0.63,0.25,2
0.63,0.26,2
0.63,0.27,2
0.63,0.28,2
0.63,0.29,2
0.63,0.2,2
0.63,0.31,3
0.63,0.32,3
0.63,0.33,3
0.63,0.34,3
0.63,0.35,3
0.63,0.36,7
0.63,0.37,1
0.63,0.38,1
0.63,0.39,1
0.63,0.3,2
0.63,0.41,1
0.63,0.42,1
0.63,0.43,1
0.63,0.44,1
0.63,0.45,1
0.63,0.46,1
0.63,0.47,1
0.63,0.48,1
0.63,0.49,1
0.63,0.4,1
0.63,0.51,1
0.63,0.52,1
0.63,0.53,1
0.63,0.54,1
0.63,0.5,1
0.64,0.21,2
0.64,0.22,2
0.64,0.23,2
0.64,0.24,2
0.64,0.25,2
0.64,0.26,2
0.64,0.27,2
0.64,0.28,2
0.64,0.29,2
0.64,0.2,2
0.64,0.31,3
0.64,0.32,3
0.64,0.33,3
0.64,0.34,3
0.64,0.35,3
0.64,0.36,3
0.64,0.37,1
0.64,0.38,1
0.64,0.39,1
0.64,0.3,2
0.64,0.41,1
0.64,0.42,1
0.64,0.43,1
0.64,0.44,1
0.64,0.45,1
0.64,0.46,1
0.64,0.47,1
0.64,0.48,1
0.64,0.49,1
0.64,0.4,1
0.64,0.51,1
0.64,0.52,1
0.64,0.53,1
0.64,0.54,1
0.64,0.5,1
0.65,0.21,2
0.65,0.22,2
0.65,0.23,2
0.65,0.24,2
0.65,0.25,2
0.65,0.26,2
0.65,0.27,2
0.65,0.28,2
0.65,0.29,2
0.65,0.2,2
0.65,0.31,2
0.65,0.32,3
0.65,0.33,3
0.65,0.34,3
0.65,0.35,3
0.65,0.36,3
0.65,0.37,7
0.65,0.38,1
0.65,0.39,1
0.65,0.3,2
0.65,0.41,1
0.65,0.42,1
0.65,0.43,1
0.65,0.44,1
0.65,0.45,1
0.65,0.46,1
0.65,0.47,1
0.65,0.48,1
0.65,0.49,1
0.65,0.4,1
0.65,0.51,1
0.65,0.52,1
0.65,0.53,1
0.65,0.54,1
0.65,0.5,1
0.66,0.21,2
0.66,0.22,2
0.66,0.23,2
0.66,0.24,2
0.66,0.25,2
0.66,0.26,2
0.66,0.27,2
0.66,0.28,2
0.66,0.29,2
0.66,0.2,2
0.66,0.31,2
0.66,0.32,3
0.66,0.33,3
0.66,0.34,3
0.66,0.35,3
0.66,0.36,3
0.66,0.37,3
0.66,0.38,7
0.66,0.39,1
0.66,0.3,2
0.66,0.41,1
0.66,0.42,1
0.66,0.43,1
0.66,0.44,1
0.66,0.45,1
0.66,0.46,1
0.66,0.47,1
0.66,0.48,1
0.66,0.49,1
0.66,0.4,1
0.66,0.51,1
0.66,0.52,1
0.66,0.53,1
0.66,0.54,1
0.66,0.5,1
0.67,0.21,2
0.67,0.22,2
0.67,0.23,2
0.67,0.24,2
0.67,0.25,2
0.67,0.26,2
0.67,0.27,2
0.67,0.28,2
0.67,0.29,2
0.67,0.2,2
0.67,0.31,2
0.67,0.32,2
0.67,0.33,3
0.67,0.34,3
0.67,0.35,3
0.67,0.36,3
0.67,0.37,3
0.67,0.38,3
0.67,0.39,1
0.67,0.3,2
0.67,0.41,1
0.67,0.42,1
0.67,0.43,1
0.67,0.44,1
0.67,0.45,1
0.67,0.46,1
0.67,0.47,1
0.67,0.48,1
0.67,0.49,1
0.67,0.4,1
0.67,0.51,1
0.67,0.52,1
0.67,0.53,1
0.67,0.54,1
0.67,0.5,1
0.68,0.21,2
0.68,0.22,2
0.68,0.23,2
0.68,0.24,2
0.68,0.25,2
0.68,0.26,2
0.68,0.27,2
0.68,0.28,2
0.68,0.29,2
0.68,0.2,2
0.68,0.31,2
0.68,0.32,2
0.68,0.33,3
0.68,0.34,3
0.68,0.35,3
0.68,0.36,3
0.68,0.37,3
0.68,0.38,3
0.68,0.39,7
0.68,0.3,2
0.68,0.41,1
0.68,0.42,1
0.68,0.43,1
0.68,0.44,1
0.68,0.45,1
0.68,0.46,1
0.68,0.47,1
0.68,0.48,1
0.68,0.49,1
0.68,0.4,1
0.68,0.51,1
0.68,0.52,1
0.68,0.53,1
0.68,0.54,1
0.68,0.5,1
0.69,0.21,2
0.69,0.22,2
0.69,0.23,2
0.69,0.24,2
0.69,0.25,2
0.69,0.26,2
0.69,0.27,2
0.69,0.28,2
0.69,0.29,2
0.69,0.2,2
0.69,0.31,2
0.69,0.32,2
0.69,0.33,2
0.69,0.34,3
0.69,0.35,3
0.69,0.36,3
0.69,0.37,3
0.69,0.38,3
0.69,0.39,3
0.69,0.3,2
0.69,0.41,1
0.69,0.42,1
0.69,0.43,1
0.69,0.44,1
0.69,0.45,1
0.69,0.46,1
0.69,0.47,1
0.69,0.48,1
0.69,0.49,1
0.69,0.4,7
0.69,0.51,1
0.69,0.52,1
0.69,0.53,1
0.69,0.54,1
0.69,0.5,1
0.6,0.21,2
0.6,0.22,2
0.6,0.23,2
0.6,0.24,2
0.6,0.25,2
0.6,0.26,2
0.6,0.27,2
0.6,0.28,2
0.6,0.29,3
0.6,0.2,2
0.6,0.31,3
0.6,0.32,3
0.6,0.33,3
0.6,0.34,7
0.6,0.35,1
0.6,0.36,1
0.6,0.37,1
0.6,0.38,1
0.6,0.39,1
0.6,0.3,3
0.6,0.41,1
0.6,0.42,1
0.6,0.43,1
0.6,0.44,1
0.6,0.45,1
0.6,0.46,1
0.6,0.47,1
0.6,0.48,1
0.6,0.49,1
0.6,0.4,1
0.6,0.51,1
0.6,0.52,1
0.6,0.53,1
0.6,0.54,1
0.6,0.5,1
0.71,0.21,2
0.71,0.22,2
0.71,0.23,2
0.71,0.24,2
0.71,0.25,2
0.71,0.26,2
0.71,0.27,2
0.71,0.28,2
0.71,0.29,2
0.71,0.2,2
0.71,0.31,2
0.71,0.32,2
0.71,0.33,2
0.71,0.34,2
0.71,0.35,3
0.71,0.36,3
0.71,0.37,3
0.71,0.38,3
0.71,0.39,3
0.71,0.3,2
0.71,0.41,7
0.71,0.42,1
0.71,0.43,1
0.71,0.44,1
0.71,0.45,1
0.71,0.46,1
0.71,0.47,1
0.71,0.48,1
0.71,0.49,1
0.71,0.4,3
0.71,0.51,1
0.71,0.52,1
0.71,0.53,1
0.71,0.54,1
0.71,0.5,1
0.72,0.21,2
0.72,0.22,2
0.72,0.23,2
0.72,0.24,2
0.72,0.25,2
0.72,0.26,2
0.72,0.27,2
0.72,0.28,2
0.72,0.29,2
0.72,0.2,2
0.72,0.31,2
0.72,0.32,2
0.72,0.33,2
0.72,0.34,2
0.72,0.35,2
0.72,0.36,3
0.72,0.37,3
0.72,0.38,3
0.72,0.39,4
0.72,0.3,2
0.72,0.41,3
0.72,0.42,7
0.72,0.43,1
0.72,0.44,1
0.72,0.45,1
0.72,0.46,1
0.72,0.47,1
0.72,0.48,1
0.72,0.49,1
0.72,0.4,4
0.72,0.51,1
0.72,0.52,1
0.72,0.53,1
0.72,0.54,1
0.72,0.5,1
0.73,0.21,2
0.73,0.22,2
0.73,0.23,2
0.73,0.24,2
0.73,0.25,2
0.73,0.26,2
0.73,0.27,2
0.73,0.28,2
0.73,0.29,2
0.73,0.2,2
0.73,0.31,2
0.73,0.32,2
0.73,0.33,2
0.73,0.34,2
0.73,0.35,2
0.73,0.36,3
0.73,0.37,3
0.73,0.38,3
0.73,0.39,4
0.73,0.3,2
0.73,0.41,4
0.73,0.42,7
0.73,0.43,1
0.73,0.44,1
0.73,0.45,1
0.73,0.46,1
0.73,0.47,1
0.73,0.48,1
0.73,0.49,1
0.73,0.4,4
0.73,0.51,1
0.73,0.52,1
0.73,0.53,1
0.73,0.54,1
0.73,0.5,1
0.74,0.21,2
0.74,0.22,2
0.74,0.23,2
0.74,0.24,2
0.74,0.25,2
0.74,0.26,2
0.74,0.27,2
0.74,0.28,2
0.74,0.29,2
0.74,0.2,2
0.74,0.31,2
0.74,0.32,2
0.74,0.33,2
0.74,0.34,2
0.74,0.35,2
0.74,0.36,2
0.74,0.37,3
0.74,0.38,3
0.74,0.39,4
0.74,0.3,2
0.74,0.41,4
0.74,0.42,4
0.74,0.43,7
0.74,0.44,1
0.74,0.45,1
0.74,0.46,1
0.74,0.47,1
0.74,0.48,1
0.74,0.49,1
0.74,0.4,4
0.74,0.51,1
0.74,0.52,1
0.74,0.53,1
0.74,0.54,1
0.74,0.5,1
0.75,0.21,2
0.75,0.22,2
0.75,0.23,2
0.75,0.24,2
0.75,0.25,2
0.75,0.26,2
0.75,0.27,2
0.75,0.28,2
0.75,0.29,2
0.75,0.2,2
0.75,0.31,2
0.75,0.32,2
0.75,0.33,2
0.75,0.34,2
0.75,0.35,2
0.75,0.36,2
0.75,0.37,2
0.75,0.38,3
0.75,0.39,3
